Name,Interests,Cluster,Journey Frequency
Clara Winstead,"science,fashion,culture,sports,adventure,pets",363,323
Winston Richardson,"science,culture,politics,movie",238,699
Brian Crowley,"science,adventure,politics,food,joke,sports",414,31
James Davis,"food,movie,fashion,politics,science,joke,pets",462,881
Paul Morgan,"fashion,pets,adventure,science,politics,movie",372,807
Guadalupe Vinz,"politics,pets,science,movie",332,347
Tommy Tracy,"joke,culture",45,86
Dorothy Hadfield,"science,joke,politics",325,345
Peter Major,"sports,culture",56,894
Kent Walsh,"politics,joke",4,469
Murray Reynolds,"food,science,joke,adventure,pets",106,569
Jerry Romero,culture,15,370
Sandra Calvin,"adventure,sports,movie,fashion,science",323,59
Chi Javaux,"politics,food,adventure,fashion,pets,joke",429,813
Roger Starling,"sports,adventure,pets,fashion,movie",551,130
Eric Smith,"sports,adventure,fashion,food",594,846
Mario Hairston,"politics,sports,science,movie,fashion,adventure,pets",230,516
Holly Cook,"sports,movie,science",289,874
Abdul Mcguffey,"fashion,pets,adventure,movie,joke",212,621
Monica Waite,"pets,fashion,joke,food,sports,politics",375,519
Adan Colony,"pets,sports,science,movie",125,935
Maria Fennell,"culture,fashion,joke",200,154
Jessica Lopes,"politics,pets,food,culture,movie,science",502,912
Rebecca Singer,"movie,fashion,science,pets,food",577,775
Lourdes Wright,"culture,sports,food,politics,fashion,adventure",146,130
Barbara Bachman,"fashion,adventure,politics,food,joke,sports",28,566
Tammy Williams,"culture,movie,politics,sports,science,food,pets",187,798
Matilda Bowser,"fashion,movie,politics",46,698
Kathleen Ramirez,"joke,adventure,food",247,150
Murray Sefcovic,"adventure,movie,food,science,politics,fashion,culture",428,839
Clinton Stepler,"food,politics,pets,fashion,science",506,907
Benito Rogers,"food,joke,politics",219,338
Steven Schaefer,"pets,food",32,808
Michael Austin,"sports,adventure,culture,fashion,politics,food,movie",403,670
Angelo Conway,"food,movie",63,146
James Lanzetta,"adventure,fashion,food,joke",436,543
Maura Guerra,"movie,joke,food,adventure,politics,science",224,816
Denise King,"politics,sports,culture,fashion,joke,science",107,924
Gloria Bryan,"adventure,fashion,science,food,politics,culture,movie",428,128
Christopher Watt,"adventure,food,joke,science,culture,movie",88,135
Marie Hunt,"adventure,movie",29,790
Cassandra Williams,"sports,food,politics",234,324
Rachel Rusher,"science,food,adventure,movie,sports,joke",434,49
Ricky Kizer,"pets,fashion,politics,culture,sports,science,adventure",363,515
Mario Canfield,"pets,culture,joke",268,167
Duane Nardini,"fashion,science,culture,food",308,701
Frances Clark,"fashion,sports",48,102
Louise Spears,"pets,food,movie,adventure,culture,fashion,politics",249,566
Terry Mccurdy,adventure,26,583
Patricia Escobar,"culture,sports",56,359
Shannon Perrez,"sports,movie,adventure,pets,culture,fashion,food",376,884
Amy Washington,"sports,politics,food",234,689
Margaret Monaco,"joke,politics,fashion",294,838
James Nichols,"politics,movie,food",303,398
Carl Johnson,"sports,pets,food,joke,movie,adventure",297,949
Patricia Cotton,"culture,politics,sports",150,781
Pedro Ragsdale,"food,pets",32,813
Arnulfo Sellers,"food,joke,politics,science,fashion,movie,sports",299,421
Rocco Hamler,"culture,politics,adventure,pets,joke,food,science",441,629
Frances Pittman,"science,culture",50,1
Christopher Gillan,"sports,politics",113,360
Stuart Holladay,fashion,9,451
Edward Werth,"fashion,food,culture,pets,joke,science,politics",442,785
Robert Cobar,"joke,adventure",58,753
Alma Sheffield,sports,8,334
Travis Kepler,"adventure,fashion",119,528
Linda Eskind,"politics,joke,adventure,culture,food,fashion,science",454,102
Saul Martin,"joke,sports,science",71,77
Carol Debord,"food,politics,movie,culture,adventure",47,88
Stefanie Gallagher,"politics,culture",68,274
Terrance Riley,"adventure,movie,food,joke,fashion",122,104
John Pasquino,"adventure,politics",101,226
John Hickman,"adventure,food,politics,joke",417,623
Kristin Akbar,"pets,fashion",95,752
Catherine Huerta,"politics,culture,joke,pets",444,485
Danielle Crecelius,"politics,pets,food,science",506,961
Lynn Erkkila,"joke,sports,science,fashion",153,641
Brian Webster,"movie,food,science,politics",503,216
Ed Hewitt,"culture,movie,joke",292,804
Lena Carden,"food,movie,culture,sports,science,politics,pets",187,919
Dale Knuckles,culture,15,219
Stefanie Schultz,"movie,culture,fashion,science,politics",427,906
Wayne Reyes,"pets,joke,movie,adventure,science,sports,politics",423,201
Josephine Holcomb,"joke,adventure,fashion,pets,science",410,318
Carol Murphy,"joke,politics",4,733
Aide Swartz,"culture,pets",86,513
Maxine Daniels,"movie,pets,joke,sports,politics,adventure,food",486,568
Deborah Staten,fashion,9,956
Jack Rudd,"food,sports,adventure,politics,science",497,731
Peter Thurber,"adventure,politics,movie,food,science,pets",534,124
Janice Torres,"adventure,sports,politics,science",515,618
Robert Keys,sports,8,968
Edward Shelley,"joke,sports,adventure,food,science,movie,fashion",434,867
Karen Deford,"culture,pets,sports,adventure",537,280
Marvin Hamiel,"politics,food,sports",234,869
John Anderson,"politics,pets,fashion,science",440,959
Carolyn Nasuti,"politics,joke,movie",100,820
Linda Burns,"culture,fashion",30,131
Catherine Sobieski,"fashion,culture,adventure",149,839
Nancy Isaacson,"politics,science,pets,food,sports,joke,fashion",375,995
Justin Kolle,"politics,adventure,food,movie,joke",224,354
Ryan Gandy,"adventure,politics,fashion,culture",580,325
George Taul,"science,movie,politics,sports,joke,fashion",589,347
Susan Rosasco,"sports,science,culture,movie,food,joke",160,586
Charles Secor,"food,pets,politics,joke,fashion",462,676
Stephanie Duarte,"culture,movie,pets,sports,politics,science",121,84
Margie Halfmann,"science,fashion,culture",260,443
Filiberto Sutton,"fashion,pets,food,adventure,science,politics,culture",498,705
Marie Adkerson,"politics,culture,fashion,sports,food,science",360,442
Andrew Goodwin,adventure,26,147
Donald Broussard,"fashion,joke,adventure,food",436,761
Douglas Larsen,"movie,politics,sports,adventure,culture,pets,fashion",2,130
Vanessa Andrews,"movie,fashion",77,829
Carolyn Hutcheson,"fashion,movie,politics,sports,food",55,324
Sadie Moore,"adventure,food,movie,pets,science,culture,fashion",452,536
Charles Peay,"movie,politics,culture,sports,fashion,food",116,617
Robert Mccrystal,"movie,science,culture,joke,pets,politics,food",155,202
Deborah Butler,"fashion,sports,science,adventure,culture,pets,politics",363,913
Kim Anderson,"sports,pets,adventure",142,559
Bernardine Sartoris,"politics,fashion,food,joke,sports",335,313
Sheryl Williams,"sports,joke,movie,science,food,politics",299,781
Melissa Winfrey,"sports,joke,fashion",128,624
Juan Smith,"science,adventure,fashion,food,pets,movie,joke",564,685
Hattie Mcgee,"food,politics,fashion,science,culture,pets,adventure",498,742
Gertrude Tapia,"adventure,politics,movie,culture",521,437
Jodi Brewer,"adventure,politics,food,movie",215,629
Harlan Johnson,politics,20,702
Bobby Elwood,"science,sports",60,155
Roy Espinoza,"adventure,culture,food,joke,fashion,science,sports",198,983
Agustina Mccarthy,science,35,679
Melody Geller,"joke,culture,sports,food,science",392,819
Vickie Patterson,"science,sports,joke,adventure",217,420
Vance Tong,"culture,science,pets,sports,joke,food,movie",413,254
Gary Martin,"politics,movie,food,fashion,pets",157,991
Matthew Bartlett,"culture,fashion,food,joke,movie,pets",307,832
Frances Till,"science,food,joke,fashion",461,220
Mary Longway,"science,food,adventure,sports,pets,culture,politics",104,331
Robert Fontenot,fashion,9,590
Mary Riddle,"food,science",85,750
Ann Jones,"food,movie",63,23
Vincent Hobson,"adventure,pets,politics,sports,culture,movie",538,658
Maryanne Kolb,"adventure,movie,food,joke,culture,sports",495,745
Sylvia Cobb,"sports,politics",113,904
Eugenia Radden,politics,20,895
James Johnson,"movie,pets,fashion,science,food,sports,joke",348,287
Ivan Henry,"joke,science,sports,fashion",153,268
Mary Bisard,"science,adventure",10,76
Susan Wiggins,"joke,science,movie,adventure,fashion",544,65
Stacy Ardito,"sports,science,culture,food,joke,fashion",198,954
Wayne Cordero,"fashion,movie,pets,science,adventure,politics",372,917
Phillip Batts,"adventure,pets,joke,sports,fashion",1,861
Eleanor Dukes,"adventure,fashion,movie,sports,joke,food,politics",351,683
David Kanoy,"movie,adventure,food",232,847
Nolan Morgan,"pets,fashion,joke,movie,politics",37,884
Cheryl Brown,politics,20,503
Janice Holloway,"politics,adventure,science,food,culture",339,390
James Logan,"adventure,sports,culture,movie,food,science",25,861
Raymond Araki,adventure,26,879
Jacklyn Tesoro,"joke,adventure,movie,food",453,924
Patrick Sanchez,"science,adventure,politics,joke,culture",327,517
Norma Williams,"adventure,food,movie,sports,joke,culture",495,615
Valerie King,"politics,movie,joke,food",254,962
Steven Delgado,"food,science,movie,fashion,sports,adventure",481,600
Cora Vancuren,"sports,food,pets",189,341
Fidel Doughty,"science,fashion,movie",301,45
James Guerrero,"joke,pets,science,politics,fashion,adventure,food",429,804
Darlene Rice,"movie,joke,sports,food,adventure",59,328
Ruth Gomez,"movie,science,fashion",301,403
Jessica Balboa,"joke,adventure,pets",179,881
Michael Sipes,movie,11,342
Kathryn Dove,"politics,adventure,movie,food,sports,culture",403,858
Marianne Than,"pets,joke",93,198
Otis Grohs,"fashion,joke,movie,food,science,adventure,culture",88,752
Richard Hunter,politics,20,303
Sheila Resch,"joke,pets,sports",267,372
Adeline Levey,food,24,106
Jessica Dexter,"culture,movie,adventure,fashion,joke",471,396
Derrick Kim,"pets,fashion,joke,culture,science,adventure,sports",184,21
Katrina Wortham,"culture,science,movie,food,joke",565,812
Adam Quintal,pets,18,163
Sheila Silva,"culture,pets,adventure,fashion,movie,food",64,270
Ron Meskill,joke,14,682
Stephen Sultan,"science,politics,joke,fashion,movie",589,918
Josephine Tanaka,"culture,food,fashion,adventure,movie",476,135
Mildred Ditzel,"culture,food,science,movie,sports,politics,pets",187,231
Sue Walter,"joke,fashion,sports",128,627
Rita Mccall,food,24,453
Laura Pena,"culture,movie,sports",284,180
Jacqueline Hand,"science,movie,food,adventure,pets,fashion,culture",452,361
Robyn Reider,"pets,sports,adventure",142,145
Lonnie Newman,"politics,movie,science,adventure,sports,joke,food",558,415
Allan Coria,sports,8,878
Brian Tarasuik,"adventure,culture,pets,science,fashion",524,36
Tammy Koepp,"movie,culture,sports",284,281
John Odell,sports,8,738
Carlos Gordon,"joke,politics,culture,sports",415,132
Dorothy Ringler,"adventure,movie",29,705
Clara Spikes,"movie,food,politics,adventure,science,culture,sports",319,90
Charlotte Linares,"culture,fashion,sports",98,297
Kyle Baker,"politics,sports,fashion,joke",561,345
Helen Clifton,"culture,food,pets,politics,joke",97,502
Levi Garcia,science,35,908
Glen Hackley,food,24,526
John Villareal,"movie,adventure,pets,sports,politics,fashion,joke",539,799
Abraham Schneider,"fashion,politics,culture",136,565
Kim Young,"science,adventure,sports,movie",275,536
Lesley Basso,"science,joke,fashion,pets,culture,politics",38,253
Kelly Hanson,"movie,pets,fashion,culture",338,128
Jerry Brown,"sports,movie,culture,science",430,117
Amy Franco,"science,movie,fashion,pets,adventure,food",188,359
Emilie Marrero,joke,14,2
Pamela Mueller,"fashion,culture,pets,science,sports,movie,adventure",416,325
Barbara Karlin,"pets,sports,culture,food,science,fashion,movie",70,606
Travis Crawford,"science,movie,pets,sports,adventure,joke",181,138
Leona West,fashion,9,331
Andre Mello,"adventure,fashion",119,294
Caroline Lee,"science,movie,sports,adventure,fashion,food,pets",175,153
Dorothy Blaydes,"food,science,sports,politics,pets,fashion,adventure",94,30
James Hardy,"pets,adventure,science,culture,movie,sports,joke",336,782
John Daily,"food,culture,adventure",244,636
Vina Watson,"fashion,sports,movie,food,politics,culture",116,926
Ernest Jones,"politics,culture",68,591
Susie Perry,"food,sports,movie,fashion,culture",387,830
Michael Partis,"food,adventure,movie,joke",453,688
Elizabeth Reed,"culture,pets,fashion",207,526
Leon Mahon,"pets,politics,science,food",506,363
John Lay,"pets,science",87,634
Ashley Anderson,"culture,adventure,movie,pets,joke,food",512,871
Joseph Kaufman,"science,pets,sports,movie,politics",557,767
John Billiot,"science,pets,politics",171,504
Christopher Burgett,"politics,movie",120,979
Sandra Palacios,"joke,sports,culture,science",392,166
Marjorie Zachmann,"adventure,food",54,643
Cheryl Whipps,"adventure,fashion,food,sports",594,614
Paul Walters,"sports,science",60,808
Roberto Rickard,"fashion,movie,politics",46,499
Fred Johnson,"movie,culture,sports,joke,pets,politics",282,862
Nathan Poarch,"pets,movie,sports,culture",473,528
Shannon Medford,"pets,movie,adventure,joke,politics,culture",166,785
Jason Renaud,"joke,culture,adventure",310,657
Kim Hereford,"joke,pets,politics,food,culture,fashion,adventure",380,784
Clint Brian,"pets,movie,joke",235,342
Catina Coleman,"culture,pets,movie,joke",477,589
Grace Stern,"fashion,science,movie,food,adventure,joke",122,641
Maria Natonabah,"adventure,science,pets,culture",285,986
Tony Gonzales,"pets,joke,sports,adventure,movie",81,357
Arturo Steveson,"food,joke,sports,movie,pets,adventure",297,166
Nancy Lopez,"fashion,food,sports,politics,movie,joke",299,360
Ada Billups,"fashion,movie,culture,joke",373,935
Deborah Jones,"sports,science",60,76
Robert Kirby,"fashion,sports,pets",379,669
Rebecca Neal,"movie,joke,food",298,875
Maria Payne,"culture,fashion,politics,science,movie,joke",320,85
Brian Kenoyer,"food,movie,joke,science",141,507
John Rice,"pets,food",32,995
Bradley Mudget,"science,fashion,movie",301,741
Saul Brown,"joke,science,adventure,movie,pets,culture",21,420
James Slay,"politics,adventure,sports",17,584
Corey Nichols,adventure,26,679
Rogelio Cooley,"movie,culture,science",73,986
Robert Coleman,"movie,sports,culture,pets,fashion,joke",80,454
David Atchley,science,35,65
Rogelio Hoffpauir,"adventure,politics,science,sports,pets",118,747
Lela Beck,"politics,culture,joke",269,588
Lillian Stevens,"fashion,food,joke,pets",103,339
Jason Moir,science,35,401
Daniel Roberts,"food,politics,adventure,movie,pets,science,joke",381,540
Janice Daffin,"fashion,science,culture,politics,movie,adventure,joke",320,922
Ann Love,science,35,167
Gail Lin,"pets,food",32,725
Demetrius Rodriguez,adventure,26,575
Jo Prow,joke,14,264
Stanley Odea,"pets,science",87,908
Brandon Fernandes,"sports,culture",56,722
Madeline Aldridge,"food,movie,joke,pets",433,600
David Bartoletti,"movie,joke,fashion,adventure",544,872
Carmen Sandoval,"culture,fashion,sports,joke,pets,adventure",588,682
Muriel Brown,"food,joke,fashion,culture,sports",450,215
Vincent Crawford,"fashion,science,politics",460,875
Leona Eland,culture,15,619
Crystal Esparza,"joke,pets",93,117
Deborah Logan,"fashion,sports,food,culture,adventure",146,888
Michael Geffrard,culture,15,562
Michael Salazar,"pets,fashion,movie,culture",338,153
Ashley Ferretti,"joke,adventure,fashion,science,food,movie",122,913
Hayden Mcaleer,"sports,movie,culture,pets",473,332
Rosemary Taylor,"politics,pets,culture,science,movie,adventure",346,238
Judith Switzer,"adventure,movie,sports,science",275,209
Carl Evans,"food,joke,science,fashion,pets,politics",429,156
Margaret Beltz,"pets,science,culture,fashion,sports,food,adventure",22,465
Minnie Reeve,pets,18,459
Armando Mccreary,"adventure,movie,politics,pets,science,joke,culture",395,776
Albert Richardson,"joke,food,science",34,380
Reginald Hinds,"fashion,sports,food,movie,pets,joke,science",348,74
Betty Pedersen,"movie,science",109,382
Linda Crocker,"culture,adventure,joke",310,80
Lawrence Southerly,"sports,movie,science,culture",430,296
Elizabeth Wagner,"politics,movie,culture,science,joke,adventure",546,462
Michelle Collins,"science,culture,movie,fashion,adventure,pets,food",452,557
Amy James,"pets,food,movie",225,251
Maria Cameron,"pets,sports,culture,movie",473,18
Richard Breuer,"food,sports,joke,adventure,culture,fashion",450,779
Mark Wissinger,"culture,pets,food,fashion,movie,science",552,357
George Hoover,"sports,culture,politics,joke,fashion,adventure",485,532
Annie Gaspar,"science,pets,culture,politics",445,447
Julia Seaman,science,35,190
Claudia Holmes,"food,science",85,247
Helen Baker,"pets,sports,joke,fashion,adventure",1,752
Jessica Sousa,"sports,politics",113,461
Mabel Bridges,"sports,adventure,science,politics,fashion,culture,joke",485,570
Vera Ramerez,"culture,politics,joke,adventure",545,469
Patsy Woolley,"adventure,joke",58,291
Alexander Kilman,"culture,joke,fashion,food",356,282
Renee Brotherton,"pets,culture,food,sports,fashion,adventure",22,218
Crystal Birmingham,"culture,politics",68,988
Jim Hand,"politics,food,movie,joke,fashion",554,35
Sandra Weckerly,pets,18,561
Tory Ruple,"fashion,science,sports,politics",89,13
Viviana Andrews,"pets,science,politics,adventure,food,joke,movie",381,272
Adriana Lee,"adventure,politics,science,joke,sports,culture",221,333
Berniece Collins,"science,sports",60,705
Jonathan Palovick,"movie,joke",41,811
Joseph Grisby,"pets,food,adventure,joke,politics",106,849
David Ditullio,"science,joke,movie,fashion,culture",471,726
Natalya Clark,"adventure,sports,joke,movie,politics",223,168
Ronald Guthrie,"pets,food",32,901
Laura Sifuentes,"sports,pets,adventure,movie",587,299
Darlene Young,"science,sports,adventure,politics",515,217
Ray Buchanan,"politics,adventure,science,pets,fashion,food",429,721
Peter Williams,"politics,science,joke,culture,fashion",327,251
Sharon Titsworth,"science,politics,pets,movie,joke,adventure",542,668
Katie Conover,"pets,food,fashion,science,politics,culture",33,458
Aurora Berstein,pets,18,947
Georgia Stinson,"joke,movie,fashion",313,834
Barbara Kearns,"pets,movie,politics,fashion,food,sports",203,21
Regina Davis,"food,fashion",76,516
Kesha Henry,"culture,politics,movie,fashion,sports,science",507,550
Leslie Blount,"movie,food,science,adventure,culture,fashion,sports",162,89
Tessie Arnold,pets,18,92
Kathy Palazzi,"fashion,food,culture,adventure,sports,pets,politics",394,160
Stefanie Johnson,"culture,fashion,politics,joke,movie,pets",83,786
Morris Lee,"culture,pets,joke,food,movie",75,849
Thomas Smith,"sports,politics",113,557
Latonya Wohlert,"pets,culture,movie,food",75,692
Myrtle Stevens,"joke,science",90,583
David Howell,"movie,fashion,science,joke",482,819
Tracy Veilleux,"sports,culture,fashion,politics,movie,pets",496,685
Mary Jones,"adventure,food,science,fashion,movie,politics,joke",278,239
Michelle Roy,"movie,culture,adventure,food,fashion,sports",162,963
Kristin Corriveau,"food,pets,adventure,sports,culture,movie,science",368,804
Lee Menz,"joke,culture,food,politics,fashion,movie,science",13,610
Gary Crandall,"science,culture,adventure",197,210
Luis Cruz,"pets,sports,fashion",379,205
Fred Jensen,"adventure,politics",101,455
Deborah Velez,"food,culture,science,pets,adventure",540,718
Ena Guerrero,"politics,science",51,390
Rebecca Bladen,"fashion,movie,science,culture,pets,politics",465,69
Edward Slaughenhoupt,"joke,food,pets,culture",556,894
Steven Rawlins,"adventure,sports,politics,science,movie,joke,food",558,77
Jordan Stokley,"adventure,food,movie",232,977
Joy Zohn,"fashion,politics,adventure,sports,culture,movie",507,657
William Justiss,"food,pets",32,525
Edith Stephenson,pets,18,865
Angela Ryan,pets,18,529
Susan Mccormack,"culture,pets,food,joke,adventure",229,651
Douglas Hughes,politics,20,158
Leon Moore,"fashion,pets,sports,politics,culture",496,752
Angela Macon,"food,fashion,pets,politics,science,sports,adventure",94,150
Gerald Neaves,"joke,adventure,pets",179,164
Adam Nelson,"science,joke,culture,fashion,sports,adventure,food",198,917
Terri Fleming,"politics,culture",68,203
Sharon Nava,"culture,adventure,politics,food,fashion",339,131
Gloria Brown,"science,culture",50,856
Erica Ludwig,"science,joke,fashion,sports,adventure,movie",591,585
Donald Eckhard,"fashion,science,culture,joke",176,13
Sonya Siegel,food,24,234
Michael Bailey,food,24,502
Celia Perrine,adventure,26,93
Kevin Paul,"sports,politics,adventure,movie,food,fashion,pets",424,365
Amy Stutts,science,35,306
Warren Perez,"joke,science,adventure",302,502
Carrie Songer,"culture,fashion,politics,food,science,sports",360,632
David Peaslee,"movie,food,science,politics,culture,fashion",428,241
Kara Foster,"culture,science,movie,sports",430,950
Alyce Sexton,"science,joke,culture,politics,pets,food",442,812
Enrique Link,"sports,fashion,science,politics,culture",107,53
Abel Grant,"fashion,politics,culture",136,707
Albert Concepcion,"sports,culture,science",277,169
Tami Vanaman,"adventure,politics,fashion,science,culture,sports",485,15
Lois Long,"movie,sports,fashion,science,politics",574,344
Phyllis Orahood,"culture,pets,science,movie,food,adventure,fashion",452,99
Robert Shephard,"science,culture,fashion,movie,food,adventure,politics",428,20
Betty Caldwell,joke,14,210
George Martinez,"fashion,food,science,politics,adventure,sports,movie",412,980
Donna Rains,"science,sports,adventure",206,404
Ramon Ross,"adventure,sports",123,750
Douglas Leblanc,"politics,joke,science,culture,food,fashion,adventure",454,160
Carla Torres,politics,20,621
Jim Woods,"food,fashion,joke,adventure,politics,science",592,789
Steve Hayes,"science,sports,pets,movie,food,adventure,fashion",175,384
Joseph Johnson,"adventure,food,sports,movie,joke",59,568
Carolyn Spurgeon,"science,movie",109,867
Ruby Powell,"politics,adventure,sports,joke,science,fashion",485,875
Anita Lasch,"food,culture,movie",448,457
Scott Williams,"sports,pets,fashion",379,74
Julia Baseler,"culture,food,joke,science",359,792
Krystal Justus,"politics,joke,fashion,movie,science,pets,culture",354,962
Bruce Huang,"movie,fashion",77,304
Frances Moore,"fashion,joke,movie,food,science,sports,culture",340,355
Sherri Swenson,"pets,adventure",115,917
Lynette Lochrico,"science,politics",51,768
Michael Storlie,"sports,culture,science,adventure,joke,pets",184,743
Raymond Clarke,science,35,767
James Robinson,"joke,movie,sports,culture,pets",80,755
Carl Law,"joke,food,sports",168,161
Lori Marie,"culture,food,politics,movie,sports",451,580
Timothy Bilodeau,"science,adventure,pets,sports,food",342,725
Brandie Stephenson,"joke,movie,adventure",208,163
Clifford Blach,"fashion,food",76,867
Mary Fleming,"adventure,politics,joke,science,sports,food",414,131
Minerva Wasson,joke,14,246
Bulah Dicks,"movie,culture,joke",292,291
Audry Kirklin,"joke,pets,movie,culture,fashion,politics,adventure",166,130
Mike Henderson,"sports,pets",49,333
Barbara Capdeville,"politics,food,science,movie,culture,joke",13,751
Jeffrey Gomez,"politics,fashion",127,76
Lizzie Defreitas,"pets,fashion",95,880
Jon Griggs,"science,culture,politics",177,786
Marie Drake,"food,joke,movie",298,650
John Ringgold,"sports,science,adventure,movie,politics,fashion,culture",507,72
Marilyn Alston,"movie,pets,fashion,science,adventure,food",188,525
Elena Cloud,"politics,sports,fashion,joke,culture",107,271
Gilbert Decesare,"adventure,sports",123,868
Billy Bradley,"politics,food",43,356
Tennille Essary,"politics,sports,pets,joke,culture,food,fashion",129,472
Lynne Wichmann,"fashion,science,sports,pets",488,483
Michelle Rubio,food,24,801
Roland Berry,"sports,science,movie,culture,fashion,food,pets",70,394
David Day,"pets,joke,movie",235,212
Victor Kimme,"science,movie,adventure,sports",275,599
Robert Green,"sports,fashion,science,movie,joke,food,politics",299,600
Franklin Garcia,"politics,sports,movie,pets,fashion",489,834
Michael Sanchez,"movie,adventure,food",232,334
Fredric Cole,"science,food,fashion,joke,pets",103,323
Michael Hilliard,"movie,politics,science,sports,fashion",574,572
Paul Pierro,"fashion,culture,science,sports,movie,adventure",165,348
Francis Coyt,"culture,movie,politics",270,528
Lorna Velazquez,"food,politics,adventure",241,956
Wendy Neff,"culture,movie,adventure,food",47,688
John Corn,"food,fashion,culture",246,919
Nicki Hughes,joke,14,938
Irene Rodriguez,"movie,fashion,sports,joke",422,541
Robert Junke,"sports,joke",78,950
Gary Esposito,"pets,politics,joke,adventure,movie,culture",166,561
Andrew Lyons,"movie,culture,politics,pets,science",346,873
Roberta Rabil,"movie,adventure,politics,fashion,culture,science",96,377
Douglass Jamal,"science,movie,sports,food,adventure",481,858
Selena Cooley,science,35,324
Carlota Gordon,"joke,adventure,politics,movie",535,55
Janet Mckenzie,"pets,culture,movie,adventure",388,357
Jonathan Ruthledge,"food,pets,movie,politics,fashion,culture,joke",421,949
Kerry Huntley,"science,fashion",52,858
Kandis Edwards,"fashion,science,culture,movie,sports,joke,politics",439,623
Luke Gonzalez,science,35,713
Judith Barragan,"culture,science,movie",73,285
Bernard Johnston,"movie,politics,science",220,295
Pamela Wright,"food,culture,joke,politics,pets,sports,movie",479,157
Richard Harris,"joke,culture,adventure",310,561
Allison Howard,"sports,fashion",48,688
Patty Morton,"culture,science,fashion,movie,food,adventure,pets",452,409
Freda Rising,"adventure,sports,food",343,127
Antonio Hopkins,"adventure,joke,fashion,politics,movie,food",278,159
Hattie Sellner,"adventure,science,sports,culture,politics,movie",507,522
Aaron Hernandez,"pets,food,politics,adventure,culture",97,293
Richard Mccombs,"culture,fashion,food,sports,movie",387,345
Maureen Barlow,"joke,science,fashion,politics",595,578
Crystal Friedlander,"politics,joke,culture,pets,movie",83,747
Eric Meehan,sports,8,263
Mary Flores,"science,sports,food,joke,adventure",463,902
Nancy Walzier,"food,culture,pets,adventure,joke,politics,science",441,716
Maria Rathbone,"fashion,culture,food,politics",163,648
Bruce Nunez,"movie,sports,adventure,joke",357,681
Bobby Brown,"politics,adventure,food",241,678
Daniel Perez,"politics,food,sports,movie,pets,joke",12,439
Jennifer Strzelecki,"joke,sports,politics,culture,science",107,652
Stephanie Hooker,politics,20,133
Tyrone Kwak,"science,culture,sports,joke",392,663
George Whitt,"joke,culture",45,75
William Ames,"science,fashion",52,378
Kerry Williams,"movie,science,politics,fashion,food,pets",577,838
Bruce Dejesus,"sports,adventure,food",343,663
Lila Rogers,"adventure,sports,movie,joke,pets,science",181,513
Paul German,"joke,food,culture,movie,fashion",565,143
Stacy Crawford,"food,movie,politics",303,813
John Moralez,sports,8,167
Kenneth Huffman,"movie,fashion,adventure",334,268
Evelyn Pierce,"culture,sports,politics,movie",36,334
Virginia Thackston,"science,culture,fashion",260,642
Karen Hedgespeth,movie,11,756
Donald Lucky,"adventure,joke,movie",208,697
Karmen Anderson,"joke,politics",4,374
Stephen Vasquez,culture,15,56
Jacob Harner,"adventure,science",10,553
Catherine Smith,"sports,culture",56,211
Daniel Dyson,"joke,pets,politics,movie",164,185
James Grindstaff,"fashion,science,movie,politics,food,adventure,pets",188,788
Amber Quillen,politics,20,996
Irene Watkins,"culture,sports,politics",150,175
Wilmer Burrage,"sports,fashion,movie,adventure,joke,culture",7,483
Willie Underwood,"sports,culture",56,648
Sue Foret,"food,pets,movie,sports,science,joke,politics",135,920
Marsha Richey,"joke,pets",93,927
Patricia Limberg,"pets,adventure,food,movie",523,730
James Lemmons,"culture,pets,science,sports,politics",121,502
John Lorenzo,"politics,culture,science",177,841
Margaret Babonis,"politics,movie,adventure,joke,food",224,385
Tanya Thompson,"science,movie,culture,joke,politics,pets,fashion",354,246
David Hope,"science,pets,sports,movie,food,fashion,politics",419,858
Tim Lewis,"food,joke,fashion",274,855
Michael Halfmann,fashion,9,839
William Perez,politics,20,313
Lloyd Hill,"culture,politics,joke,adventure,science,pets",509,812
Kristin Kniffen,"culture,sports,adventure,food,joke,politics",390,435
Jesus Benites,"pets,movie,science,culture",520,509
Alex Longo,"pets,politics,movie",291,655
Carolyn Grady,"food,joke,culture,adventure",216,945
William Fawcett,joke,14,343
Doris Redd,"sports,politics,culture,science",344,131
Young Mcrae,"politics,culture",68,444
Kevin Hammond,"science,joke,food,fashion,politics",592,657
Steve Michalski,"culture,movie,food",448,238
Andrew Baldwin,"pets,food,movie,fashion,science,culture",552,988
Ricky Archut,"fashion,science",52,640
Michael Ander,"joke,adventure",58,513
Robert Evans,culture,15,874
Christy Huelse,"politics,fashion,food,pets,culture,science",33,225
Nathan Viera,"culture,adventure,politics",345,715
Laura Mclaine,"science,culture,politics,movie,joke,pets,food",155,144
Dorothy Connaughton,science,35,835
Joseph Martin,"sports,politics,food,pets,movie",203,463
Brian Jackson,"culture,movie,fashion,sports,joke,pets,science",499,130
Sebastian Claar,"culture,politics,fashion,joke,food",295,678
Willie Roach,"fashion,movie,science,pets,food",577,658
Jose Mccrae,"sports,science,movie,food,culture",387,816
Cecelia Juarbe,"sports,pets,culture,movie,fashion",393,843
James Rosario,"fashion,culture,pets,sports,science,adventure,food",22,13
Larry Robinson,"food,adventure,science",261,558
